Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
X029 1,X,Lyons Square Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,1.32,1.32,,5,8,,15,13,81.00,,121.00,,,220.00,,195.00,,2.8,4.5,4.8,5.0,,No,No,No,No,30.00,73.00,723.00,154.00
B110,B,Marion Hopkinson Playground,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,1.32,1.32,,39,23,,19,28,481.00,,286.00,,,245.00,,348.00,,5.2,4.7,4.8,5.9,,Yes,Yes,Yes,Yes,958.00,591.00,0.00,98.00
B262,B,Potomac Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.32,1.32,,37,26,,20,64,522.00,,364.00,,,275.00,,781.00,,6.6,5.5,5.1,6.4,,No,No,No,Yes,1492.00,933.00,871.00,394.00
R019,R,Veterans Park,,,,,,,,Small Park,,,,"Staten
Island Sector 1",,District 1,,,1.32,1.32,,12,11,,7,11,175.00,,166.00,,,112.00,,164.00,,6.4,6.7,5.6,5.7,,No,No,No,No,1261.00,205.00,172.00,485.00
M094A,M,Broadway Malls,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,1.31,1.30,,25,33,,23,24,361.00,,462.00,,,348.00,,306.00,,6.2,5.8,5.7,6.0,,No,No,No,No,0.00,24.00,0.00,0.00
B255F,B,Detective Joseph Mayrose Park,,,,,,,,Small Park,,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,1.31,1.31,,18,10,,10,15,290.00,,167.00,,,131.00,,224.00,,5.9,5.8,4.8,4.7,,Yes,Yes,Yes,Yes,0.00,145.00,83.00,162.00
Q053,Q,Equity Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,1.31,1.31,,41,60,,48,61,562.00,,869.00,,,747.00,,922.00,,6.2,7.0,6.7,6.6,,Yes,Yes,Yes,Yes,2072.00,251.00,718.00,214.00
Q298,Q,Paul Raimonda Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 1.2,,"Districts 1, 2",,,1.31,1.31,,11,9,,11,11,158.00,,130.00,,,164.00,,190.00,,4.2,3.4,3.9,5.5,,No,No,No,No,54.00,103.00,147.00,2026.00
R105,R,Prall Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station",,,"Staten Island
Sector 1",,District 1,,,1.31,1.31,,8,11,,9,9,123.00,,164.00,,,133.00,,133.00,,6.1,6.5,5.8,6.1,,No,No,No,No,404.00,425.00,255.00,1353.00
Q379,Q,Briarwood Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 8.9,,"Districts 8, 9",,,1.30,1.30,,7,11,,9,9,111.00,,171.00,,,155.00,,148.00,,3.3,4.7,4.5,4.9,,No,No,No,No,83.00,892.00,0.00,143.00
B232,B,Dean Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,1.30,1.30,,65,67,,42,48,907.00,,817.00,,,511.00,,631.00,,5.5,5.8,6.1,5.4,,Yes,Yes,Yes,Yes,2516.00,10362.00,163.00,2077.00
Q428,Q,Horace Harding Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.30,1.30,,60,17,,23,43,855.00,,223.00,,,319.00,,564.00,,6.4,4.5,4.6,5.5,,Yes,Yes,Yes,Yes,481.00,638.00,707.00,1118.00
Q021C,Q,Seven Gables Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,"Queens Sector
11.13",,"Districts 11, 13",,,1.30,1.30,,3,3,,5,4,57.00,,59.00,,,77.00,,69.00,,5.6,5.7,6.3,6.2,,No,No,No,No,50.00,589.00,28.00,67.00
Q066B,Q,Triborough Bridge Playground B,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 1.2,,"Districts 1, 2",,,1.30,1.30,,9,12,,10,15,104.00,,182.00,,,154.00,,233.00,,6.4,6.8,6.7,6.6,,Yes,Yes,Yes,Yes,3667.00,970.00,821.00,2008.00
B310,B,Bushwick Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 1,,District 1,,,1.29,1.29,,125,30,,31,73,1717.00,,375.00,,,401.00,,894.00,,6.1,5.1,4.4,6.9,,Yes,Yes,Yes,Yes,3610.00,302.00,1388.00,31175.00
R087,R,Dongan Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort Station,Playground",,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,1.29,1.29,,10,10,,9,8,156.00,,142.00,,,128.00,,118.00,,6.1,6.3,6.2,6.5,,No,No,No,No,1475.00,1469.00,1817.00,2328.00
M258,M,East River Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,1.29,1.29,,86,65,,67,60,1155.00,,857.00,,,824.00,,758.00,,6.9,6.8,6.5,6.7,,Yes,Yes,Yes,Yes,847.00,834.00,1059.00,508.00
M132,M,Little Flower Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort Stations,Playground",,,Manhattan Sector 3,,District 3,,,1.29,1.29,,5,5,,8,7,85.00,,70.00,,,103.00,,112.00,,4.8,5.3,5.2,5.3,,No,No,No,No,8649.00,780.00,142.00,640.00
X101A,X,Samuel H. Young Park,,,,,,,,Small Park,Athletic Facilities,,,"Bronx Sector
11.12",,"Districts 11, 12",,,1.29,1.29,,1,1,,1,1,20.00,,12.00,,,21.00,,13.00,,1.4,1.3,1.2,1.1,,No,No,No,No,14.00,0.00,0.00,86.00
X150J,X,Bailey Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 7.8,,"Districts 7, 8",,,1.28,3.53,,18,71,,32,31,250.00,,869.00,,,407.00,,395.00,,4.6,5.6,4.5,5.1,,No,Yes,Yes,Yes,3841.00,542.00,1026.00,878.00
Q308 1,Q,Bowne Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 7,,District 7,,,1.28,1.28,,5,1,,1,1,90.00,,17.00,,,20.00,,14.00,,3.2,1.7,1.7,1.2,,No,No,No,No,386.00,37.00,0.00,0.00
M059,M,Murphy Brothers Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,1.28,1.28,,17,13,,11,12,244.00,,190.00,,,150.00,,176.00,,6.3,5.9,6.0,6.2,,No,No,No,No,116.00,322.00,132.00,141.00
B131,B,Rudd Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.28,1.28,,10,17,,9,49,128.00,,221.00,,,149.00,,610.00,,4.9,6.1,4.5,5.5,,No,Yes,No,Yes,0.00,88.00,646.00,315.00
X221,X,Space Time Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Bronx Sector
9.10",,"Districts 9, 10",,,1.28,1.28,,64,35,,27,25,1019.00,,442.00,,,328.00,,307.00,,5.0,4.7,4.1,5.2,,Yes,Yes,Yes,Yes,709.00,576.00,209.00,454.00
Q348,Q,Willow Lake Playground,,,,,,,,Small Park,"Athletic Facility,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.28,1.28,,24,24,,19,37,314.00,,313.00,,,267.00,,494.00,,4.9,4.8,4.2,5.8,,Yes,Yes,No,Yes,632.00,1198.00,512.00,1442.00
X150I 53,X,Cooney Grauer Field,,,,,,,,Small Park,Athletic Facilities,,,Bronx Sector 7.8,,"Districts 7, 8",,,1.27,1.27,,2,3,,1,3,29.00,,39.00,,,21.00,,41.00,,1.5,1.7,1.0,1.2,,No,No,No,No,154.00,67.00,47.00,0.00
Q344,Q,Emerald Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,1.27,1.27,,10,14,,17,26,137.00,,181.00,,,222.00,,335.00,,4.6,6.0,5.5,6.2,,No,No,Yes,Yes,1893.00,309.00,33.00,128.00
M225,M,Wagner Playground,,,,,,,,Small Park,Athletic Facilities,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,1.27,1.27,,15,8,,11,14,187.00,,98.00,,,130.00,,182.00,,5.8,4.2,5.5,6.2,,No,No,No,No,162.00,538.00,10.00,633.00
B302,B,Charlie's Place,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.26,1.26,,21,14,,9,14,296.00,,198.00,,,132.00,,210.00,,6.5,5.4,4.6,6.4,,No,No,No,No,13.00,39.00,75.00,116.00
B301,B,Greene Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 2,,District 2,,,1.26,1.26,,50,59,,54,67,614.00,,717.00,,,656.00,,951.00,,5.1,7.0,6.5,4.9,,Yes,Yes,Yes,Yes,214.00,189.00,596.00,1172.00
X256,X,Pelham Bay Little League,,,,,,,,Small Park,Athletic Facility,,,"Bronx Sector
11.12",,"Districts 11, 12",,,1.26,1.26,,3,2,,2,3,54.00,,35.00,,,35.00,,49.00,,3.1,2.2,2.0,2.9,,No,No,No,No,10.00,0.00,0.00,72.00
B253,B,Albert J. Parham Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 2,,District 2,,,1.25,1.25,,45,53,,55,65,573.00,,640.00,,,666.00,,862.00,,4.9,6.0,6.2,6.3,,Yes,Yes,Yes,Yes,3581.00,9090.00,2720.00,1643.00
Q362,Q,Playground Ninety,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 3.4,,"Districts 3, 4",,,1.25,1.25,,31,34,,19,23,406.00,,429.00,,,244.00,,297.00,,5.7,6.2,5.4,5.8,,Yes,Yes,No,No,942.00,2699.00,29.00,698.00
M206,M,Tanahey Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 3,,District 3,,,1.25,1.25,,11,8,,10,11,150.00,,87.00,,,121.00,,152.00,,5.6,4.1,5.4,6.2,,No,No,No,No,354.00,429.00,131.00,252.00
B267,B,Winthrop Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,1.25,1.25,,55,52,,19,49,676.00,,651.00,,,279.00,,620.00,,6.1,6.5,6.5,6.5,,Yes,Yes,No,Yes,194.00,202.00,934.00,775.00
M003,M,Annunciation Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Manhattan Sector 7.9,,"Districts 7, 9",,,1.24,1.24,,12,14,,16,24,148.00,,182.00,,,201.00,,287.00,,6.0,6.1,6.5,6.3,,No,No,No,No,146.00,57.00,424.00,2813.00
B210I,B,Gonzalo Plasencia Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,1.24,1.24,,17,18,,11,20,246.00,,260.00,,,167.00,,299.00,,6.4,6.1,5.8,6.8,,No,No,No,No,499.00,271.00,750.00,276.00
Q353 1,Q,Grassmere Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 14,,District 14,,,1.24,1.24,,2,5,,5,8,25.00,,66.00,,,77.00,,109.00,,1.7,3.2,4.8,5.0,,No,No,No,No,0.00,0.00,1368.00,284.00
B139,B,Heckscher Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.24,1.24,,44,33,,27,42,795.00,,425.00,,,346.00,,527.00,,6.6,6.2,4.9,6.2,,No,Yes,Yes,Yes,1906.00,1154.00,418.00,869.00
B331,B,Neptune Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Brooklyn Sector 13,,District 13,,,1.24,1.24,,8,8,,8,10,97.00,,102.00,,,100.00,,136.00,,4.8,5.0,5.3,4.6,,No,No,No,No,105.00,93.00,271.00,30.00
M070 54,M,Queensboro Oval,,,,,,,,Small Park,Athletic Facilities,,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,1.24,1.24,,4,5,,5,2,50.00,,68.00,,,69.00,,34.00,,6.1,6.5,6.5,4.5,,No,No,Yes,Yes,0.00,52.00,1704.00,0.00
B169A,B,Brighton Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 13,,District 13,,,1.23,1.23,,128,23,,20,19,1832.00,,284.00,,,262.00,,257.00,,6.0,5.0,5.8,4.8,,Yes,No,No,No,508.00,504.00,160.00,4292.00
Q066H,Q,Chappetto Square,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,1.23,1.23,,6,5,,7,11,69.00,,76.00,,,107.00,,180.00,,5.9,6.8,6.6,6.5,,Yes,Yes,Yes,Yes,828.00,263.00,0.00,0.00
Q223 55,Q,Fresh Meadows Park,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,1.23,1.23,,1,1,,1,1,18.00,,14.00,,,27.00,,13.00,,1.9,2.2,2.3,1.8,,No,No,No,No,0.00,206.00,69.00,20.00
M217,M,Howard Bennett Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,1.23,1.23,,59,37,,44,45,930.00,,597.00,,,710.00,,766.00,,6.5,5.7,6.0,6.3,,Yes,Yes,Yes,Yes,5398.00,490.00,185.00,351.00
B282,B,Patrick O'Rourke Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,1.23,1.23,,17,15,,9,10,245.00,,214.00,,,144.00,,151.00,,5.1,5.8,4.8,5.5,,No,No,No,No,1942.00,35.00,807.00,222.00
X141,X,Rienzi Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Bronx Sector
11.12",,"Districts 11, 12",,,1.23,1.23,,26,25,,17,27,346.00,,333.00,,,249.00,,380.00,,6.2,6.4,6.7,6.4,,No,No,No,No,1280.00,607.00,927.00,959.00
B264,B,Roebling Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 1,,District 1,,,1.23,1.23,,58,35,,32,29,991.00,,508.00,,,409.00,,354.00,,6.4,6.7,6.2,5.6,,Yes,Yes,Yes,Yes,741.00,826.00,1973.00,196.00
M192,M,Stanley Isaacs Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,1.23,1.23,,96,125,,96,117,1179.00,,1580.00,,,1363.00,,1603.00,,6.6,7.0,7.0,6.8,,Yes,Yes,Yes,Yes,20682.00,493.00,490.00,234.00
X168,X,Nelson Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,1.22,1.22,,25,21,,14,12,360.00,,310.00,,,217.00,,177.00,,5.7,6.2,5.4,4.8,,No,No,No,No,1479.00,851.00,992.00,1344.00
Q389,Q,Bayside Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 14,,District 14,,,1.21,1.21,,6,5,,4,6,87.00,,65.00,,,58.00,,76.00,,2.9,4.5,4.8,4.8,,No,No,No,No,587.00,172.00,170.00,60.00
B274 1,B,Bayview Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,1.21,1.21,,10,6,,6,9,141.00,,91.00,,,97.00,,143.00,,4.3,3.5,4.3,3.5,,No,No,No,No,2193.00,265.00,145.00,586.00
B359,B,Eleanor Roosevelt Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.21,1.21,,47,62,,36,42,657.00,,779.00,,,449.00,,532.00,,6.6,6.3,4.6,6.6,,No,Yes,Yes,Yes,3204.00,23561.00,212.00,435.00
Q381,Q,Francis Lewis Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,"Queens Sector
11.13",,"Districts 11, 13",,,1.21,1.21,,11,8,,9,9,166.00,,127.00,,,140.00,,145.00,,4.1,5.1,4.9,5.2,,No,No,No,No,202.00,392.00,376.00,169.00
X214,X,Magenta Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Bronx
Sector 11.12",,"Districts 11, 12",,,1.21,1.21,,26,20,,12,24,353.00,,278.00,,,175.00,,335.00,,6.2,6.7,6.5,6.0,,No,No,No,No,176.00,272.00,180.00,413.00
Q437,Q,Murray Hill Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 7,,District 7,,,1.21,1.21,,3,4,,4,3,65.00,,68.00,,,69.00,,67.00,,2.8,2.7,2.8,2.6,,No,No,No,No,56.00,26.00,1545.00,205.00
X190,X,Tiffany Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,1.21,1.21,,28,14,,27,15,367.00,,205.00,,,383.00,,215.00,,5.5,5.5,5.5,5.6,,No,No,No,No,595.00,733.00,620.00,2086.00
X147B,X,Daniel Boone Playground,,,,,,,,Small Park,Playground,,,Bronx Sector 3.6,,"Districts 3, 6",,,1.20,1.20,,23,16,,13,20,331.00,,227.00,,,193.00,,295.00,,5.9,5.5,5.2,6.2,,No,No,No,No,1946.00,283.00,359.00,387.00
B323,B,Hattie Carthan Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.20,1.20,,47,56,,36,74,624.00,,713.00,,,437.00,,904.00,,6.5,5.7,4.5,6.8,,Yes,Yes,Yes,Yes,358.00,60.00,283.00,611.00
Q440,Q,Hilton Holiday Gardens,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,1.20,1.20,,3,2,,1,1,45.00,,26.00,,,22.00,,14.00,,1.7,1.7,1.5,1.1,,No,No,No,No,2399.00,0.00,118.00,0.00
B113B,B,Korean War Veterans Plaza,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,1.20,1.20,,14,14,,12,12,172.00,,173.00,,,156.00,,165.00,,5.4,5.8,5.8,5.9,,No,No,No,No,111.00,775.00,32.00,566.00
Q337,Q,Maurice A Fitzgerald Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,1.20,1.20,,36,53,,62,70,470.00,,675.00,,,764.00,,870.00,,6.4,6.8,6.8,6.7,,Yes,Yes,Yes,Yes,260.00,144.00,402.00,165.00
X235,X,Grove Hill Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,1.19,1.19,,14,10,,8,13,199.00,,149.00,,,119.00,,172.00,,5.6,5.2,4.2,5.7,,No,No,No,No,900.00,712.00,305.00,427.00
B106B 1,B,Lafayette Playground,,,,,,,,Small Park,Athletic Facility,,,Brooklyn Sector 13,,District 13,,,1.19,1.19,,5,14,,11,12,64.00,,170.00,,,148.00,,160.00,,2.3,3.4,4.7,4.4,,No,No,No,No,46.00,403.00,179.00,163.00
B407,B,South Oxford Park,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Brooklyn Sector 2,,District 2,,,1.19,1.19,,11,5,,7,7,128.00,,73.00,,,79.00,,95.00,,3.2,2.5,3.0,3.8,,No,No,No,No,0.00,77.00,141.00,375.00
B350 1,B,Stroud Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,1.19,1.19,,16,3,,8,35,204.00,,33.00,,,118.00,,441.00,,5.8,5.4,5.8,6.0,,Yes,Yes,Yes,Yes,96.00,299.00,0.00,0.00
B234,B,Tilden Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
17.18",,"Districts 17, 18",,,1.19,1.19,,9,29,,33,41,130.00,,361.00,,,417.00,,600.00,,3.2,4.0,5.6,5.2,,No,Yes,No,Yes,558.00,646.00,417.00,1747.00
B259,B,Underwood Park,,,,,,,,Small Park,"Comfort Station,Playground",,,Brooklyn Sector 2,,District 2,,,1.19,1.19,,61,63,,59,65,752.00,,768.00,,,713.00,,903.00,,6.4,6.7,6.8,5.8,,Yes,Yes,Yes,Yes,359.00,89.00,433.00,679.00
Q400,Q,Oakland Gardens,,,,,,,,Small Park,"Athletic
Facilities,Natural Areas,Playground",,,Queens Sector 7A,,District 7A,,,1.17,1.17,,9,12,,10,5,130.00,,179.00,,,152.00,,74.00,,3.2,3.8,4.6,3.2,,No,No,Yes,No,101.00,342.00,976.00,855.00
B221,B,Steuben Playground,,,,,,,,Small Park,Athletic Facilities,,,Brooklyn Sector 2,,District 2,,,1.17,1.17,,13,8,,6,16,150.00,,107.00,,,78.00,,211.00,,3.5,3.2,3.0,4.4,,No,No,No,No,0.00,39.00,158.00,109.00
B124,B,William Sheridan Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 1,,District 1,,,1.17,1.17,,18,24,,11,10,227.00,,289.00,,,150.00,,127.00,,6.3,5.5,5.6,5.2,,Yes,Yes,Yes,Yes,740.00,494.00,125.00,736.00
B349,B,Bath Playground,,,,,,,,Small Park,Playground,,,"Brooklyn Sector
11.15",,"Districts 11, 15",,,1.16,1.16,,7,13,,11,17,122.00,,198.00,,,166.00,,237.00,,3.8,5.8,5.4,6.0,,No,No,No,No,2685.00,1734.00,56.00,243.00
B026,B,Cuyler Gore Park,,,,,,,,Small Park,Playground,,,Brooklyn Sector 2,,District 2,,,1.16,1.16,,16,11,,8,13,202.00,,144.00,,,96.00,,181.00,,5.1,3.7,3.5,5.2,,No,No,No,No,827.00,219.00,162.00,418.00
Q304,Q,Ehrenreich-Austin Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.16,1.16,,40,24,,20,9,509.00,,308.00,,,262.00,,133.00,,6.1,5.5,4.3,3.7,,Yes,Yes,No,No,2240.00,416.00,646.00,443.00
Q352,Q,Hillside Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Queens
Sector 11.13",,"Districts 11, 13",,,1.16,1.16,,6,6,,6,8,103.00,,90.00,,,93.00,,133.00,,4.4,4.2,5.1,4.7,,No,No,No,No,614.00,163.00,83.00,381.00
Q066G,Q,Sitting Area,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,1.16,1.16,,4,4,,7,10,42.00,,61.00,,,101.00,,160.00,,5.9,6.8,6.5,6.2,,Yes,Yes,Yes,Yes,0.00,0.00,736.00,0.00
B378,B,University Place,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,1.16,1.16,,1,,,,1,7.00,,3.00,,,4.00,,8.00,,1.0,1.0,1.0,1.3,,No,No,No,No,125.00,0.00,0.00,9.00
Q290,Q,"""Uncle"" Vito F. Maranzano Glendale Playground",,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 5.6,,"Districts 5, 6",,,1.15,1.15,,6,6,,5,8,103.00,,100.00,,,74.00,,130.00,,3.7,3.9,4.0,4.5,,No,No,No,No,205.00,1558.00,0.00,2453.00
R064,R,Christopher J. Igneri Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort Station,Playground",,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,1.15,1.15,,4,6,,6,6,67.00,,83.00,,,79.00,,98.00,,6.1,6.3,6.2,6.5,,No,No,No,No,12000.00,33397.00,223.00,1629.00
Q404,Q,East Springfield Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Queens
Sector 11.13",,"Districts 11, 13",,,1.15,1.15,,26,32,,13,51,331.00,,409.00,,,176.00,,639.00,,5.0,4.8,4.2,6.1,,Yes,Yes,No,Yes,394.00,931.00,125.00,227.00
Q118 1,Q,Police Officer Nicholas Demutiis Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Queens Sector
10.12",,"Districts 10, 12",,,1.15,1.15,,29,72,,47,51,367.00,,877.00,,,593.00,,682.00,,5.1,7.0,6.3,6.0,,Yes,Yes,Yes,Yes,4437.00,142.00,572.00,3570.00
B152,B,Rappaport Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
10.12",,"Districts 10, 12",,,1.15,1.15,,35,38,,11,21,442.00,,478.00,,,180.00,,305.00,,6.1,6.1,6.2,6.2,,Yes,Yes,No,No,3347.00,399.00,401.00,888.00
Q375,Q,Willets Point Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 7,,District 7,,,1.15,1.15,,1,2,,2,2,24.00,,31.00,,,35.00,,37.00,,2.0,1.4,2.2,2.2,,No,No,No,No,123.00,857.00,367.00,119.00
M237 1,M,Corporal John A. Seravalli Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 1.2,,"Districts 1, 2",,,1.14,1.14,,10,8,,9,14,149.00,,128.00,,,133.00,,225.00,,5.9,4.9,4.7,5.8,,No,No,No,No,1266.00,96.00,5.00,7.00
Q011,Q,Poppenhusen Playground,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,Queens Sector 7,,District 7,,,1.14,1.14,,6,14,,28,28,101.00,,177.00,,,346.00,,345.00,,3.2,2.7,3.8,4.0,,No,Yes,Yes,Yes,113.00,760.00,338.00,447.00
Q422,Q,Seaside Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 14,,District 14,,,1.14,1.14,,118,121,,128,144,1438.00,,1476.00,,,1558.00,,1771.00,,6.1,5.0,5.0,5.5,,Yes,Yes,Yes,Yes,299.00,1874.00,125.00,777.00
R144,R,Sobel Court Park,,,,,,,,Small Park,Playground,,,"Staten
Island Sector 1",,District 1,,,1.14,1.14,,7,6,,8,10,106.00,,87.00,,,115.00,,149.00,,5.9,6.1,5.6,6.0,,No,No,No,No,0.00,72.00,0.00,0.00
